time,x,y,z
5.002,1.63,2.18,0.13
5.01,1.23,2.19,0.03
5.012,0.88,2.22,-0.09
5.019,0.63,2.26,-0.24
5.022,0.48,2.31,-0.4
5.027,0.43,2.35,-0.56
5.031,0.46,2.41,-0.71
5.039,0.57,2.48,-0.83
5.047,0.69,2.55,-0.95
5.048,0.82,2.62,-1.06
5.054,0.91,2.68,-1.17
5.064,0.98,2.76,-1.26
5.064,1.02,2.86,-1.35
5.067,1.08,2.95,-1.44
5.072,1.17,3.04,-1.51
5.078,1.27,3.14,-1.57
5.081,1.4,3.25,-1.63
5.088,1.54,3.38,-1.67
5.093,1.66,3.48,-1.71
5.097,1.81,3.56,-1.74
5.102,1.93,3.61,-1.79
5.11,2.01,3.61,-1.86
5.113,2.04,3.57,-1.95
5.117,1.98,3.5,-2.06
5.122,1.85,3.39,-2.17
5.128,1.69,3.29,-2.29
5.133,1.51,3.19,-2.4
5.137,1.33,3.09,-2.47
5.143,1.24,3.01,-2.53
5.147,1.27,2.95,-2.56
5.152,1.42,2.94,-2.55
5.163,1.65,2.96,-2.51
5.163,1.93,3.04,-2.46
5.168,2.27,3.14,-2.39
5.172,2.63,3.22,-2.35
5.178,2.99,3.3,-2.32
5.182,3.24,3.4,-2.37
5.187,3.37,3.45,-2.46
5.194,3.34,3.45,-2.57
5.198,3.15,3.39,-2.7
5.201,2.83,3.28,-2.81
5.209,2.46,3.13,-2.9
5.212,2.05,2.93,-2.97
5.218,1.68,2.72,-2.99
5.222,1.41,2.51,-2.98
5.228,1.2,2.28,-2.91
5.231,1.15,2.05,-2.81
5.236,1.21,1.79,-2.69
5.242,1.37,1.51,-2.57
5.247,1.55,1.26,-2.45
5.252,1.67,1.1,-2.34
5.259,1.71,1,-2.22
5.261,1.66,0.97,-2.12
5.267,1.53,0.99,-1.97
5.272,1.38,1,-1.78
5.277,1.23,0.98,-1.57
5.281,1.14,0.92,-1.38
5.287,1.09,0.82,-1.24
5.297,1.07,0.69,-1.16
5.298,1.08,0.56,-1.15
5.302,1.11,0.44,-1.21
5.313,1.18,0.34,-1.31
5.313,1.23,0.25,-1.4
5.318,1.28,0.19,-1.48
5.322,1.29,0.13,-1.5
5.327,1.23,0.09,-1.47
5.332,1.12,0.04,-1.37
5.337,0.97,-0.04,-1.23
5.342,0.85,-0.14,-1.1
5.348,0.73,-0.23,-0.99
5.352,0.72,-0.35,-0.93
5.358,0.78,-0.48,-0.94
5.361,0.93,-0.67,-0.99
5.367,1.13,-0.95,-1.08
5.37,1.3,-1.13,-1.18
5.377,1.26,-1.05,-1.24
5.382,1.05,-0.79,-1.25
5.386,0.72,-0.47,-1.19
5.392,0.42,-0.17,-1.05
5.398,0.24,0.07,-0.81
5.402,0.22,0.16,-0.52
5.409,0.32,0.12,-0.29
5.412,0.53,0.01,-0.17
5.418,0.74,-0.14,-0.24
5.422,0.89,-0.3,-0.47
5.43,0.97,-0.44,-0.77
5.431,0.98,-0.57,-1.06
5.436,0.97,-0.69,-1.25
5.447,0.97,-0.82,-1.31
5.448,1.01,-1,-1.24
5.452,1.08,-1.23,-1.14
5.46,1.18,-1.5,-1.04
5.461,1.25,-1.83,-0.96
5.467,1.3,-2.18,-0.96
5.472,1.3,-2.56,-0.98
5.477,1.27,-3,-1.05
5.485,1.17,-3.39,-1.11
5.486,0.81,-3.4,-1.1
5.495,0.15,-2.99,-0.97
5.498,-0.63,-2.31,-0.74
5.5,-1.32,-1.51,-0.39
5.508,-1.72,-0.73,0.05
5.51,-1.82,-0.15,0.61
5.516,-1.64,0.19,1.28
5.521,-1.24,0.3,1.89
5.526,-0.76,0.19,2.3
5.532,-0.29,-0.05,2.38
5.537,0.13,-0.36,2.06
5.545,0.45,-0.65,1.42
5.546,0.65,-0.91,0.55
5.552,0.71,-1.08,-0.31
5.562,0.63,-1.24,-0.98
5.563,0.49,-1.38,-1.32
5.566,0.28,-1.53,-1.31
5.571,0.11,-1.7,-1.05
5.576,0.02,-1.93,-0.69
5.582,0.1,-2.2,-0.42
5.586,0.32,-2.49,-0.32
5.591,0.59,-2.79,-0.42
5.597,0.86,-3.08,-0.67
5.601,1.06,-3.35,-0.99
5.607,1.21,-3.65,-1.28
5.612,1.28,-3.93,-1.45
5.616,1.22,-3.96,-1.46
5.62,0.97,-3.73,-1.29
5.626,0.63,-3.38,-0.99
5.631,0.34,-2.98,-0.61
5.635,0.2,-2.56,-0.2
5.641,0.21,-2.16,0.23
5.647,0.34,-1.81,0.64
5.651,0.47,-1.55,1.01
5.657,0.6,-1.39,1.23
5.661,0.67,-1.31,1.26
5.666,0.68,-1.3,1.12
5.674,0.65,-1.34,0.84
5.677,0.58,-1.43,0.51
5.681,0.5,-1.54,0.19
5.686,0.45,-1.67,-0.05
5.696,0.41,-1.83,-0.2
5.697,0.38,-2.02,-0.26
5.703,0.35,-2.19,-0.25
5.714,0.31,-2.39,-0.21
5.715,0.26,-2.56,-0.18
5.716,0.21,-2.74,-0.17
5.721,0.16,-2.92,-0.18
5.727,0.12,-3.08,-0.22
5.73,0.1,-3.23,-0.26
5.736,0.1,-3.36,-0.27
5.742,0.12,-3.47,-0.27
5.747,0.15,-3.56,-0.23
5.75,0.17,-3.64,-0.17
5.758,0.22,-3.7,-0.09
5.76,0.27,-3.74,0
5.766,0.32,-3.77,0.09
5.771,0.35,-3.76,0.18
5.775,0.39,-3.73,0.28
5.781,0.39,-3.7,0.38
5.786,0.4,-3.63,0.49
5.791,0.43,-3.56,0.57
5.796,0.44,-3.47,0.66
5.801,0.45,-3.37,0.75
5.815,0.44,-3.27,0.85
5.816,0.43,-3.14,0.94
5.816,0.4,-3.03,1.04
5.828,0.36,-2.91,1.13
5.828,0.3,-2.79,1.24
5.83,0.23,-2.67,1.33
5.836,0.16,-2.57,1.44
5.84,0.07,-2.46,1.55
5.846,0,-2.35,1.66
5.851,-0.08,-2.25,1.79
5.857,-0.14,-2.15,1.9
5.861,-0.18,-2.06,2.01
5.866,-0.22,-1.98,2.12
5.874,-0.24,-1.91,2.23
5.876,-0.26,-1.86,2.34
5.881,-0.27,-1.82,2.45
5.886,-0.27,-1.77,2.59
5.891,-0.27,-1.74,2.72
5.896,-0.26,-1.72,2.85
5.901,-0.24,-1.69,2.95
5.907,-0.2,-1.69,3.03
5.911,-0.15,-1.67,3.1
5.916,-0.11,-1.67,3.15
5.921,-0.03,-1.65,3.19
5.926,0.01,-1.62,3.26
5.932,0.09,-1.59,3.34
5.937,0.11,-1.52,3.4
5.945,0.15,-1.44,3.47
5.946,0.19,-1.37,3.53
5.951,0.23,-1.29,3.58
5.963,0.26,-1.22,3.63
5.964,0.26,-1.13,3.67
5.966,0.27,-1.03,3.72
5.971,0.25,-0.93,3.76
5.975,0.21,-0.84,3.78
5.981,0.17,-0.74,3.81
5.986,0.11,-0.63,3.82
5.991,0.04,-0.55,3.82
5.995,-0.03,-0.45,3.8
6.001,-0.08,-0.36,3.8
6.007,-0.09,-0.25,3.77
6.011,-0.09,-0.15,3.73
6.016,-0.07,-0.06,3.67
6.02,-0.04,0.03,3.57
6.025,0.01,0.13,3.47
6.031,0.06,0.25,3.36
6.035,0.09,0.37,3.25
6.045,0.1,0.48,3.15
6.047,0.14,0.57,3.03
6.051,0.18,0.64,2.93
6.061,0.19,0.72,2.83
6.061,0.2,0.79,2.72
6.065,0.17,0.89,2.57
6.073,0.13,0.98,2.44
6.076,0.1,1.06,2.3
6.08,0.1,1.08,2.15
6.086,0.11,1.09,2
6.092,0.16,1.08,1.87
6.095,0.18,1.03,1.73
6.1,0.16,1.01,1.6
6.107,0.12,1.01,1.46
6.112,0.06,1.02,1.34
6.116,-0.01,1.04,1.24
6.123,-0.06,1.09,1.17
6.125,-0.08,1.15,1.14
6.131,-0.06,1.24,1.15
6.136,0.01,1.33,1.2
6.14,0.08,1.39,1.27
6.146,0.2,1.44,1.35
6.151,0.32,1.49,1.41
6.157,0.44,1.5,1.43
6.16,0.51,1.49,1.39
6.167,0.56,1.47,1.3
6.173,0.54,1.43,1.16
6.174,0.49,1.4,1
6.179,0.38,1.38,0.84
6.185,0.24,1.38,0.7
6.19,0.08,1.38,0.59
6.196,-0.07,1.39,0.52
6.201,-0.22,1.39,0.5
6.21,-0.31,1.38,0.51
6.212,-0.38,1.37,0.53
6.216,-0.4,1.34,0.57
6.226,-0.4,1.32,0.57
6.227,-0.38,1.31,0.54
6.23,-0.35,1.35,0.51
6.235,-0.29,1.4,0.47
6.239,-0.14,1.48,0.44
6.244,0.06,1.59,0.43
6.25,0.34,1.72,0.45
6.256,0.68,1.88,0.51
6.26,1.06,2.08,0.57
6.265,1.46,2.28,0.64
6.273,1.88,2.46,0.68
6.277,2.26,2.6,0.68
6.281,2.53,2.7,0.64
6.286,2.69,2.74,0.55
6.296,2.71,2.72,0.41
6.299,2.56,2.71,0.24
6.303,2.27,2.64,0.05
6.31,1.86,2.53,-0.15
6.311,1.4,2.4,-0.28
6.317,0.92,2.3,-0.34
6.326,0.54,2.25,-0.34
6.328,0.3,2.23,-0.3
6.331,0.24,2.21,-0.22
6.336,0.39,2.22,-0.13
6.356,0.68,2.29,-0.04
6.358,1.06,2.38,0.03
6.361,1.46,2.48,0.08
6.363,1.82,2.57,0.06
6.365,2.08,2.7,-0.01
6.366,2.19,2.85,-0.14
6.392,2.16,3.02,-0.31
6.392,2.01,3.19,-0.5
6.393,1.78,3.35,-0.7
6.394,1.51,3.47,-0.89
6.396,1.27,3.53,-1.06
6.398,1.05,3.56,-1.21
6.4,0.87,3.52,-1.34
6.409,0.74,3.45,-1.46
6.414,0.64,3.37,-1.59
6.418,0.58,3.29,-1.69
6.433,0.55,3.2,-1.75
6.435,0.55,3.13,-1.75
6.436,0.58,3.05,-1.71
6.437,0.65,2.95,-1.61
6.448,0.76,2.85,-1.49
6.451,0.9,2.72,-1.35
6.454,1.07,2.57,-1.23
6.469,1.22,2.42,-1.16
6.469,1.34,2.26,-1.1
6.47,1.4,2.12,-1.09
6.513,1.43,2,-1.09
6.515,1.43,1.92,-1.09
6.518,1.44,1.87,-1.11
6.519,1.5,1.88,-1.12
6.521,1.63,1.91,-1.14
6.522,1.78,1.94,-1.17
6.522,1.96,1.95,-1.2
6.523,2.11,1.95,-1.26
6.524,2.2,1.91,-1.35
6.526,2.24,1.84,-1.49
6.528,2.21,1.74,-1.68
6.529,2.11,1.64,-1.91
6.529,1.96,1.54,-2.14
6.534,1.77,1.45,-2.35
6.544,1.56,1.39,-2.52
6.545,1.38,1.33,-2.6
6.549,1.22,1.33,-2.61
6.555,1.12,1.38,-2.55
6.56,1.04,1.43,-2.42
6.564,1.02,1.47,-2.27
6.572,1.04,1.49,-2.12
6.574,1.07,1.48,-2.01
6.578,1.12,1.43,-1.94
6.585,1.15,1.34,-1.93
6.59,1.16,1.23,-1.96
6.595,1.15,1.11,-2.01
6.599,1.09,1,-2.07
6.616,1.02,0.92,-2.08
6.617,0.93,0.84,-2.05
6.618,0.9,0.76,-1.99
6.629,0.93,0.65,-1.92
6.63,1.02,0.5,-1.87
6.63,1.16,0.32,-1.85
6.638,1.34,0.12,-1.9
6.639,1.53,-0.11,-1.97
6.643,1.7,-0.37,-2.08
6.649,1.87,-0.65,-2.2
6.655,2.01,-0.98,-2.31
6.66,2.14,-1.35,-2.43
6.664,2.26,-1.85,-2.5
6.671,2.35,-2.35,-2.54
6.675,2.24,-2.52,-2.49
6.678,1.76,-2.13,-2.3
6.684,0.89,-1.5,-1.95
6.69,-0.1,-0.8,-1.45
6.694,-0.94,-0.22,-0.79
6.699,-1.44,0.21,0.01
6.705,-1.52,0.43,0.86
6.709,-1.29,0.4,1.58
6.715,-0.86,0.13,2.05
6.722,-0.39,-0.23,2.17
6.723,0.01,-0.61,1.95
6.73,0.27,-0.91,1.46
6.734,0.35,-1.12,0.82
6.739,0.3,-1.24,0.21
6.744,0.17,-1.35,-0.16
6.748,0,-1.45,-0.21
6.758,-0.14,-1.62,-0.01
6.76,-0.23,-1.82,0.33
6.765,-0.21,-2.07,0.64
6.778,-0.07,-2.38,0.84
6.779,0.14,-2.74,0.82
6.78,0.38,-3.11,0.63
6.783,0.63,-3.45,0.28
6.789,0.84,-3.76,-0.15
6.796,1.06,-3.93,-0.58
6.799,1.36,-3.99,-0.91
6.808,1.77,-3.97,-1.13
6.809,2.32,-3.83,-1.23
6.814,2.89,-3.56,-1.21
6.817,3.39,-3.2,-1.08
6.825,3.77,-2.85,-0.87
6.828,3.99,-2.5,-0.59
6.833,4.04,-2.21,-0.26
6.838,3.88,-1.97,0.03
6.843,3.55,-1.77,0.27
6.847,3.03,-1.62,0.44
6.855,2.36,-1.49,0.52
6.858,1.58,-1.41,0.54
6.864,0.74,-1.35,0.52
6.871,-0.09,-1.34,0.48
6.874,-0.82,-1.38,0.47
6.879,-1.39,-1.46,0.46
6.884,-1.78,-1.59,0.47
6.891,-1.98,-1.76,0.49
6.894,-2.05,-1.94,0.47
6.898,-1.99,-2.13,0.42
6.909,-1.85,-2.34,0.32
6.909,-1.65,-2.53,0.2
6.914,-1.43,-2.7,0.07
6.921,-1.21,-2.84,-0.08
6.923,-0.99,-2.98,-0.19
6.929,-0.79,-3.1,-0.29
6.934,-0.58,-3.2,-0.34
6.939,-0.38,-3.32,-0.39
6.943,-0.18,-3.4,-0.42
6.949,-0.01,-3.47,-0.44
6.954,0.16,-3.54,-0.45
6.959,0.3,-3.6,-0.45
6.963,0.4,-3.64,-0.45
6.971,0.48,-3.68,-0.43
6.973,0.52,-3.68,-0.41
6.978,0.5,-3.68,-0.35
6.983,0.45,-3.64,-0.27
6.989,0.37,-3.59,-0.16
6.993,0.25,-3.52,-0.03
7.011,0.12,-3.44,0.12
7.011,-0.03,-3.35,0.26
7.012,-0.16,-3.26,0.41
7.014,-0.29,-3.15,0.55
7.027,-0.43,-3.05,0.69
7.028,-0.53,-2.95,0.83
7.028,-0.61,-2.85,0.96
7.034,-0.67,-2.76,1.1
7.039,-0.72,-2.68,1.23
7.043,-0.75,-2.61,1.37
7.047,-0.76,-2.55,1.51
7.054,-0.77,-2.49,1.65
7.059,-0.75,-2.43,1.78
7.062,-0.74,-2.39,1.9
7.071,-0.71,-2.35,2
7.073,-0.65,-2.32,2.09
7.079,-0.59,-2.28,2.17
7.084,-0.53,-2.25,2.25
7.088,-0.45,-2.19,2.33
7.093,-0.38,-2.13,2.41
7.098,-0.3,-2.05,2.47
7.104,-0.23,-1.99,2.51
7.108,-0.17,-1.91,2.55
7.114,-0.14,-1.83,2.59
7.12,-0.13,-1.74,2.63
7.124,-0.13,-1.64,2.65
7.129,-0.15,-1.56,2.66
7.133,-0.18,-1.45,2.63
7.139,-0.2,-1.38,2.62
7.144,-0.24,-1.31,2.59
7.148,-0.29,-1.23,2.58
7.158,-0.36,-1.15,2.57
7.159,-0.42,-1.09,2.57
7.163,-0.5,-1.01,2.57
7.175,-0.58,-0.93,2.55
7.176,-0.66,-0.86,2.51
7.178,-0.75,-0.77,2.44
7.182,-0.81,-0.69,2.36
7.188,-0.86,-0.6,2.25
7.193,-0.87,-0.53,2.14
7.198,-0.84,-0.45,2.03
7.204,-0.77,-0.41,1.93
7.209,-0.68,-0.38,1.81
7.213,-0.59,-0.34,1.71
7.22,-0.5,-0.28,1.61
7.223,-0.44,-0.2,1.54
7.229,-0.37,-0.16,1.49
7.233,-0.3,-0.12,1.45
7.239,-0.21,-0.07,1.44
7.243,-0.15,0,1.45
7.248,-0.11,0.06,1.48
7.254,-0.07,0.11,1.52
7.258,-0.04,0.14,1.58
7.263,-0.02,0.2,1.65
7.273,-0.02,0.27,1.73
7.273,-0.03,0.33,1.8
7.278,-0.04,0.39,1.87
7.282,-0.05,0.44,1.91
7.292,-0.05,0.49,1.96
7.293,-0.05,0.51,1.98
7.298,-0.03,0.52,1.98
7.31,-0.02,0.51,1.96
7.31,-0.03,0.51,1.93
7.314,-0.05,0.51,1.87
7.32,-0.09,0.53,1.82
7.323,-0.12,0.59,1.76
7.328,-0.13,0.69,1.73
7.332,-0.14,0.78,1.71
7.339,-0.08,0.87,1.73
7.343,-0.02,0.95,1.76
7.348,0.06,1.01,1.81
7.353,0.1,1.09,1.85
7.359,0.07,1.17,1.88
7.361,0.01,1.21,1.86
7.369,-0.11,1.27,1.8
7.374,-0.25,1.34,1.7
7.377,-0.4,1.41,1.58
7.382,-0.53,1.46,1.43
7.388,-0.64,1.48,1.29
7.393,-0.7,1.46,1.17
7.398,-0.7,1.41,1.07
7.408,-0.69,1.33,0.99
7.409,-0.65,1.24,0.91
7.414,-0.57,1.2,0.82
7.418,-0.49,1.16,0.74
7.426,-0.36,1.15,0.65
7.427,-0.18,1.17,0.6
7.432,0.06,1.21,0.58
7.438,0.35,1.23,0.63
7.444,0.64,1.25,0.7
7.447,0.93,1.25,0.82
7.453,1.19,1.24,0.91
7.458,1.37,1.24,0.99
7.462,1.48,1.24,1.02
7.469,1.51,1.24,0.99
7.473,1.52,1.22,0.92
7.482,1.51,1.2,0.82
7.483,1.5,1.17,0.72
7.488,1.45,1.14,0.61
